id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze
736041664,A Jesus Garcia,ESP,male,10/17/1969,1.72,64,athletics,0,0,0
532037425,A Lam Shin,KOR,female,9/23/1986,1.68,56,fencing,0,0,0
435962603,Aaron Brown,CAN,male,5/27/1992,1.98,79,athletics,0,0,1
521041435,Aaron Cook,MDA,male,1/2/1991,1.83,80,taekwondo,0,0,0
33922579,Aaron Gate,NZL,male,11/26/1990,1.81,71,cycling,0,0,0
173071782,Aaron Royle,AUS,male,1/26/1990,1.8,67,triathlon,0,0,0
266237702,Aaron Russell,USA,male,6/4/1993,2.05,98,volleyball,0,0,1
382571888,Aaron Younger,AUS,male,9/25/1991,1.93,100,aquatics,0,0,0
87689776,Aauri Lorena Bokesa,ESP,female,12/14/1988,1.8,62,athletics,0,0,0
997877719,Ababel Yeshaneh,ETH,female,7/22/1991,1.65,54,athletics,0,0,0
343694681,Abadi Hadis,ETH,male,11/6/1997,1.7,63,athletics,0,0,0
591319906,Abbas Abubakar Abbas,BRN,male,5/17/1996,1.75,66,athletics,0,0,0
258556239,Abbas Qali,IOA,male,10/11/1992,,,aquatics,0,0,0
376068084,Abbey D'Agostino,USA,female,5/25/1992,1.61,49,athletics,0,0,0
162792594,Abbey Weitzeil,USA,female,12/3/1996,1.78,68,aquatics,1,1,0
521036704,Abbie Brown,GBR,female,4/10/1996,1.76,71,rugby sevens,0,0,0
149397772,Abbos Rakhmonov,UZB,male,7/7/1998,1.61,57,wrestling,0,0,0
256673338,Abbubaker Mobara,RSA,male,2/18/1994,1.75,64,football,0,0,0
337369662,Abby Erceg,NZL,female,11/20/1989,1.75,68,football,0,0,0
334169879,Abd Elhalim Mohamed Abou,EGY,male,6/3/1989,2.1,88,volleyball,0,0,0
215053268,Abdalaati Iguider,MAR,male,3/25/1987,1.73,57,athletics,0,0,0
763711985,Abdalelah Haroun,QAT,male,1/1/1997,1.85,80,athletics,0,0,0
924593601,Abdalla Targan,SUD,male,9/28/1996,1.77,65,athletics,0,0,0
578032534,Abdel Aziz Mehelba,EGY,male,12/10/1988,1.76,80,shooting,0,0,0
890222258,Abdelati El Guesse,MAR,male,2/27/1993,1.9,72,athletics,0,0,0
803161695,Abdelaziz Merzougui,ESP,male,8/30/1991,1.75,67,athletics,0,0,0
189931373,Abdelaziz Mohamed Ahmed,SUD,male,10/12/1994,1.81,72,aquatics,0,0,0
677622742,Abdelghani Demmou,ALG,male,1/29/1989,1.85,75,football,0,0,0
349871091,Abdelhafid Benchabla,ALG,male,9/26/1986,1.86,,boxing,0,0,0
904808208,Abdelhakim Amokrane,ALG,male,5/10/1994,1.86,70,football,0,0,0
23564778,Abdelkader Chadi,ALG,male,12/12/1986,1.78,,boxing,0,0,0
133974151,Abdelkadir Salhi,ALG,male,3/19/1993,1.85,79,football,0,0,0
189886442,Abdelkebir Ouaddar,MAR,male,7/15/1962,1.74,67,equestrian,0,0,0
199516300,Abdelkhalek Elbanna,EGY,male,7/4/1988,1.93,95,rowing,0,0,0
570342175,Abdellatif Mohamed Ahmed Mohamed,EGY,male,12/8/1995,1.76,120,wrestling,0,0,0
517007712,Abdelmajid El Hissouf,MAR,male,9/23/1992,1.7,56,athletics,0,0,0
512730813,Abdelmalik Lahoulou,ALG,male,5/7/1992,1.77,72,athletics,0,0,0
934545704,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,10/9/1987,1.85,,boxing,0,0,0
514096508,Abdelraouf Benguit,ALG,male,4/5/1996,1.7,65,football,0,0,0
388896171,Abderrahmane Benamadi,ALG,male,7/3/1985,1.83,90,judo,0,0,0
285603057,Abderrahmane Mansouri,ALG,male,1/13/1995,1.72,66,cycling,0,0,0
545134894,Abderrahmane Meziane,ALG,male,3/7/1994,1.68,62,football,0,0,0
64529046,Abdi Hakin Ulad,DEN,male,6/14/1991,1.75,57,athletics,0,0,0
917755766,Abdi Nageeye,NED,male,3/2/1989,1.65,54,athletics,0,0,0
184980926,Abdi Waiss Mouhyadin,DJI,male,7/3/1996,1.6,60,athletics,0,0,0
702606719,Abdoul Khadre Mbaye Niane,SEN,male,8/20/1988,1.9,90,aquatics,0,0,0
259675127,Abdoulkarim Fawziya,CMR,female,3/1/1989,1.8,67,volleyball,0,0,0
469953606,Abdoullah Bamoussa,ITA,male,6/8/1986,,,athletics,0,0,0
962468808,Abdoulrazak Issoufou Alfaga,NIG,male,12/26/1994,2.07,98,taekwondo,0,1,0
958967643,Abdul Khalili,SWE,male,6/7/1992,1.81,71,football,0,0,0
325809293,Abdul Omar,GHA,male,10/3/1993,,,boxing,0,0,0
152408417,Abdul Wahab Zahiri,AFG,male,5/27/1992,1.75,68,athletics,0,0,0
262868423,Abdulaziz Alshatti,IOA,male,10/30/1990,,,fencing,0,0,0
101781750,Abdulkadir Abdullayev,AZE,male,7/17/1988,1.88,,boxing,0,0,0
5763609,Abdullah Abkar Mohammed,KSA,male,1/1/1997,1.72,73,athletics,0,0,0
969824503,Abdullah Alrashidi,IOA,male,8/21/1963,1.83,84,shooting,0,0,1
897549624,Abdullah Hel Baki,BAN,male,8/1/1989,,,shooting,0,0,0
153457,Abdullahi Shehu,NGR,male,3/12/1993,1.7,,football,0,0,1
803368584,Abdullo Tangriev,UZB,male,3/28/1981,1.9,132,judo,0,0,0
937153550,Abdulrahman Al Faihan,IOA,male,6/24/1986,,,shooting,0,0,0
746318262,Abdulrashid Sadulaev,RUS,male,5/9/1996,1.77,86,wrestling,1,0,0
841446548,Abdulrazzaq Murad,QAT,male,6/29/1990,1.86,77,handball,0,0,0
884912875,Abeku Gyekye Jackson,GHA,male,4/12/2000,,,aquatics,0,0,0
146197583,Abhinav Bindra,IND,male,9/28/1982,1.75,70,shooting,0,0,0
884912136,Abigail Johnston,USA,female,11/16/1989,1.66,61,aquatics,0,0,0
